# Honorar-Referenztabellen je Schadenstufe (netto). Quellen: EIGEN=AGB Gollenstede;
# BVSK_HB_III / BVSK_HB_V=BVSK-Honorarbefragung 2024 (HB V = Korridor low..high, wert_netto_max=Obergrenze);
# HUK=HUK-Coburg SV-Honorartableau ab 28.03.2025 (Nettobetrag inkl. 80 EUR Nebenkostenpauschale ab 1000).
# Spalten: tabelle;schaden_bis;wert_netto;wert_netto_max
tabelle;schaden_bis;wert_netto;wert_netto_max
HUK;5250;867.5;
EIGEN;5500;850.5;
BVSK_HB_III;5500;873;
BVSK_HB_V;5500;793;873
HUK;5500;887.5;
EIGEN;5750;868.35;
BVSK_HB_III;5750;890;
BVSK_HB_V;5750;811;890
HUK;5750;905.0;
EIGEN;6000;890.4;
BVSK_HB_III;6000;912;
BVSK_HB_V;6000;830;912
HUK;6000;924.5;
EIGEN;6500;918.75;
BVSK_HB_III;6500;941;
BVSK_HB_V;6500;857;941
HUK;6500;952.5;
EIGEN;7000;949.2;
BVSK_HB_III;7000;971;
BVSK_HB_V;7000;884;971
HUK;7000;979.5;
EIGEN;7500;977.55;
BVSK_HB_III;7500;1000;
BVSK_HB_V;7500;911;1000
HUK;7500;1006.0;
EIGEN;8000;1013.25;
BVSK_HB_III;8000;1035;
BVSK_HB_V;8000;943;1035
HUK;8000;1038.5;
EIGEN;8500;1046.85;
BVSK_HB_III;8500;1069;
BVSK_HB_V;8500;975;1069
HUK;8500;1070.0;
EIGEN;9000;1078.35;
BVSK_HB_III;9000;1103;
BVSK_HB_V;9000;1004;1103
HUK;9000;1102.0;
EIGEN;9500;1109.85;
BVSK_HB_III;9500;1134;
BVSK_HB_V;9500;1032;1134
HUK;9500;1131.5;
EIGEN;10000;1141.35;
BVSK_HB_III;10000;1166;
BVSK_HB_V;10000;1063;1166
HUK;10000;1163.0;
EIGEN;10500;1179.15;
BVSK_HB_III;10500;1204;
BVSK_HB_V;10500;1096;1204
HUK;10500;1197.5;
EIGEN;11000;1205.4;
BVSK_HB_III;11000;1232;
BVSK_HB_V;11000;1123;1232
HUK;11000;1225.0;
EIGEN;11500;1247.4;
BVSK_HB_III;11500;1271;
BVSK_HB_V;11500;1159;1271
HUK;11500;1260.0;
EIGEN;12000;1277.85;
BVSK_HB_III;12000;1302;
BVSK_HB_V;12000;1187;1302
HUK;12000;1289.5;
EIGEN;12500;1310.4;
BVSK_HB_III;12500;1335;
BVSK_HB_V;12500;1217;1335
HUK;12500;1321.0;
EIGEN;13000;1346.1;
BVSK_HB_III;13000;1372;
BVSK_HB_V;13000;1251;1372
HUK;13000;1356.0;
EIGEN;13500;1379.7;
BVSK_HB_III;13500;1407;
BVSK_HB_V;13500;1283;1407
HUK;13500;1388.5;
EIGEN;14000;1410.15;
BVSK_HB_III;14000;1438;
BVSK_HB_V;14000;1311;1438
HUK;14000;1417.5;
EIGEN;14500;1445.85;
BVSK_HB_III;14500;1473;
BVSK_HB_V;14500;1343;1473
HUK;14500;1449.0;
EIGEN;15000;1482.6;
BVSK_HB_III;15000;1510;
BVSK_HB_V;15000;1376;1510
HUK;15000;1483.5;
EIGEN;16000;1543.5;
BVSK_HB_III;16000;1567;
BVSK_HB_V;16000;1429;1567
HUK;16000;1533.5;
EIGEN;17000;1604.4;
BVSK_HB_III;17000;1626;
BVSK_HB_V;17000;1482;1626
HUK;17000;1588.0;
EIGEN;18000;1661.1;
BVSK_HB_III;18000;1680;
BVSK_HB_V;18000;1534;1680
HUK;18000;1638.5;
EIGEN;19000;1726.2;
BVSK_HB_III;19000;1741;
BVSK_HB_V;19000;1595;1741
HUK;19000;1698.5;
EIGEN;20000;1796.55;
BVSK_HB_III;20000;1806;
BVSK_HB_V;20000;1653;1806
HUK;20000;1756.0;
EIGEN;21000;1863.75;
BVSK_HB_III;21000;1875;
BVSK_HB_V;21000;1714;1875
HUK;21000;1819.0;
EIGEN;22000;1919.4;
BVSK_HB_III;22000;1933;
BVSK_HB_V;22000;1770;1933
HUK;22000;1875.0;
EIGEN;23000;1979.25;
BVSK_HB_III;23000;1992;
BVSK_HB_V;23000;1826;1992
HUK;23000;1929.0;
EIGEN;24000;2044.35;
BVSK_HB_III;24000;2057;
BVSK_HB_V;24000;1881;2057
HUK;24000;1986.0;
EIGEN;25000;2072.7;
BVSK_HB_III;25000;2094;
BVSK_HB_V;25000;1921;2094
HUK;25000;2029.5;
EIGEN;26000;2130.45;
BVSK_HB_III;26000;2158;
BVSK_HB_V;26000;1975;2158
HUK;26000;2087.0;
EIGEN;27000;2189.25;
BVSK_HB_III;27000;2221;
BVSK_HB_V;27000;2030;2221
HUK;27000;2144.0;
EIGEN;28000;2260.65;
BVSK_HB_III;28000;2292;
BVSK_HB_V;28000;2093;2292
HUK;28000;2206.0;
EIGEN;29000;2317.35;
BVSK_HB_III;29000;2352;
BVSK_HB_V;29000;2149;2352
HUK;29000;2265.0;
EIGEN;30000;2391.9;
BVSK_HB_III;30000;2434;
BVSK_HB_V;30000;2218;2434
HUK;30000;2334.0;
EIGEN;32500;2542.05;
BVSK_HB_III;32500;2573;
BVSK_HB_V;32500;2340;2573
HUK;32500;2453.0;
EIGEN;35000;2699.55;
BVSK_HB_III;35000;2727;
BVSK_HB_V;35000;2486;2727
HUK;35000;2594.0;
EIGEN;37500;2865.45;
BVSK_HB_III;37500;2885;
BVSK_HB_V;37500;2628;2885
HUK;37500;2732.0;
EIGEN;40000;3022.95;
BVSK_HB_III;40000;3053;
BVSK_HB_V;40000;2771;3053
HUK;40000;2881.5;
EIGEN;42500;3222.45;
BVSK_HB_III;42500;3222;
BVSK_HB_V;42500;2982;3222
HUK;42500;3043.0;
EIGEN;45000;3429.3;
BVSK_HB_III;45000;3410;
BVSK_HB_V;45000;3164;3410
HUK;45000;3211.5;
EIGEN;47500;3604.65;
BVSK_HB_III;47500;3575;
BVSK_HB_V;47500;3315;3575
HUK;47500;3362.0;
EIGEN;50000;3774.75;
BVSK_HB_III;50000;3738;
BVSK_HB_V;50000;3464;3738
HUK;50000;3511.0;
